customer_id,ultima_compra,primera_compra,numero_de_compras,monetary,recency,dias_entre_pedidos,tasa_devolucion,invoice,target,cluster,prob_recompra,segmento_prob,nombre_cluster
12347,2011-04-07 10:43:00,2010-10-31 14:20:00,4,2434.96,63,52.333333333333336,0.0,4,1,2,0.91719145,alta,Desconectados
12348,2011-04-05 10:47:00,2010-09-27 14:59:00,4,1709.4,65,63.0,0.0,4,1,2,0.86830527,alta,Desconectados
12349,2010-10-28 08:23:00,2009-12-04 12:49:00,4,2646.99,224,109.0,0.2,4,1,2,0.95056516,alta,Desconectados
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.4,126,0.0,0.0,1,0,0,0.13566095,baja,Diamante
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,300.93,191,0.0,0.0,1,0,0,0.34401298,media,Diamante
12352,2011-03-22 16:08:00,2010-11-12 10:20:00,10,944.98,78,14.444444444444445,0.23076923076923078,10,1,3,0.86379635,alta,Oro
12353,2011-05-19 17:47:00,2010-10-27 12:44:00,2,406.76,20,204.0,0.0,2,0,2,0.79463595,alta,Desconectados
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,48,0.0,0.0,1,0,0,0.21594669,baja,Diamante
12355,2011-05-09 13:49:00,2010-05-21 11:59:00,2,947.61,30,353.0,0.0,2,0,2,0.06757643,baja,Desconectados
12356,2011-04-08 12:33:00,2010-10-11 09:42:00,5,6313.38,62,44.75,0.0,5,1,2,0.9744168,alta,Desconectados
12357,2010-11-16 14:29:00,2010-11-16 10:05:00,2,12079.99,204,0.0,0.0,2,1,2,0.6249007,media,Desconectados
12358,2010-11-29 10:56:00,2009-12-08 07:59:00,3,2719.01,192,178.0,0.0,3,1,2,0.8803775,alta,Desconectados
12359,2011-06-03 12:26:00,2009-12-05 13:32:00,12,5929.29,6,49.45454545454545,0.2857142857142857,12,1,3,0.99008864,alta,Oro
12360,2011-05-23 09:43:00,2010-02-22 09:32:00,7,2634.41,17,75.83333333333333,0.1111111111111111,7,1,2,0.9895984,alta,Desconectados
12361,2011-02-25 13:51:00,2010-01-26 14:37:00,4,511.25,103,131.33333333333334,0.0,4,0,2,0.31526044,media,Desconectados
12362,2011-04-28 09:12:00,2009-12-01 10:10:00,4,1099.44,42,170.66666666666666,0.21428571428571427,4,1,2,0.75852853,alta,Desconectados
12363,2011-04-11 13:29:00,2011-04-11 13:29:00,1,299.1,58,0.0,0.0,1,1,0,0.63841724,media,Diamante
12365,2011-02-21 14:04:00,2011-02-21 13:51:00,3,320.69,107,0.0,0.3333333333333333,3,0,1,0.073254436,baja,Indecisos
12366,2010-03-16 10:28:00,2010-03-16 10:28:00,1,500.24,450,0.0,0.0,1,0,0,0.06761448,baja,Diamante
12368,2010-03-21 15:56:00,2010-03-21 15:56:00,1,917.6999999999999,444,0.0,0.0,1,0,0,0.023918387,baja,Diamante
12369,2010-10-22 13:13:00,2010-03-08 08:09:00,3,1791.15,229,114.0,0.0,3,0,2,0.3132381,media,Desconectados
12370,2011-03-10 12:48:00,2010-02-09 09:41:00,6,3577.28,91,78.8,0.0,6,1,2,0.8178472,alta,Desconectados
12371,2010-10-26 13:37:00,2010-03-04 18:23:00,3,2179.42,225,117.5,0.0,3,1,2,0.8008043,alta,Desconectados
12372,2011-05-11 10:43:00,2011-02-16 12:46:00,2,914.9200000000001,29,83.0,0.0,2,1,2,0.86607647,alta,Desconectados
12373,2011-02-01 13:10:00,2010-02-04 12:08:00,3,1127.65,127,181.0,0.0,3,0,2,0.24484268,baja,Desconectados
12374,2010-10-14 13:31:00,2010-04-30 14:01:00,3,2246.29,237,83.0,0.0,3,1,2,0.65083385,media,Desconectados
12376,2010-11-15 12:15:00,2010-10-18 08:42:00,2,503.15,206,28.0,0.0,2,0,0,0.45174906,media,Diamante
12377,2011-01-28 15:45:00,2010-04-29 15:34:00,4,3426.32,131,91.33333333333333,0.0,4,0,2,0.38417006,media,Desconectados
12378,2010-05-26 14:07:00,2010-05-26 14:07:00,1,1407.7,378,0.0,0.0,1,1,0,0.2604546,baja,Diamante
12379,2010-10-13 14:46:00,2010-06-23 12:49:00,2,767.98,238,112.0,0.2,2,1,2,0.98580056,alta,Desconectados
12380,2011-06-07 09:49:00,2010-02-15 12:05:00,11,5774.99,2,47.6,0.26666666666666666,11,1,3,0.9952878,alta,Oro
12383,2011-06-08 08:02:00,2010-12-22 14:28:00,6,1839.31,1,33.4,0.16666666666666666,6,0,3,0.3100603,media,Oro
12385,2010-11-25 15:19:00,2010-11-25 15:14:00,2,1923.4,195,0.0,0.5,2,0,1,0.061740123,baja,Indecisos
12386,2011-01-06 12:37:00,2010-12-08 09:53:00,2,401.9,154,29.0,0.0,2,0,0,0.4770101,media,Diamante
12387,2010-10-20 16:27:00,2010-10-20 16:27:00,1,143.94,231,0.0,0.0,1,0,0,0.26823285,baja,Diamante
12388,2011-03-09 15:47:00,2010-05-06 12:54:00,5,1886.7,91,76.75,0.0,5,1,2,0.7863282,alta,Desconectados
12389,2010-11-02 11:52:00,2010-02-22 10:15:00,3,1433.33,219,126.5,0.0,3,0,2,0.11359553,baja,Desconectados
12391,2010-09-01 12:38:00,2010-02-15 10:12:00,6,2259.58,281,39.6,0.14285714285714285,6,1,1,0.91236186,alta,Indecisos
12392,2010-04-27 14:04:00,2010-04-27 14:04:00,1,234.75000000000003,407,0.0,0.0,1,0,0,0.03615418,baja,Diamante
12393,2011-04-08 09:45:00,2010-10-07 13:49:00,6,1855.25,62,36.4,0.14285714285714285,6,1,3,0.9418471,alta,Oro
12394,2011-05-06 14:01:00,2011-05-06 14:01:00,1,381.08,33,0.0,0.0,1,1,0,0.73795086,alta,Diamante
12395,2011-05-12 10:15:00,2010-04-16 10:16:00,11,3254.46,28,39.0,0.16666666666666666,11,1,3,0.9698299,alta,Oro
12396,2010-02-03 13:22:00,2010-02-03 13:22:00,1,931.43,490,0.0,0.0,1,0,0,0.08233594,baja,Diamante
12399,2011-05-10 10:22:00,2010-03-05 08:45:00,5,1622.6000000000001,30,107.75,0.0,5,1,2,0.9086839,alta,Desconectados
